artist,song,year,value
Avicii,Levels,2011,Universal
Stormzy,Big for Your Boots,2017,#Merky
dvsn,The Line,2016,Self-released
Icona Pop,I Love It [ft. Charli XCX],2012,Record Company Ten
John Maus,Believer,2011,Ribbon Music
Cloud Nothings,I'm Not Part of Me,2014,Carpark
Lil B,Wonton Soup,2010,BasedWorld
Nilüfer Yanya,Baby Luv,2017,Blue Flowers
Tame Impala,Feels Like We Only Go Backwards,2012,Modular
Rico Nasty,Smack a Bitch,2018,Sugar Trap
Ty Dolla $ign,Paranoid [ft. B.o.B],2013,Atlantic
J Balvin / Willy William,Mi Gente Remix [ft. Beyoncé],2017,Scorpio Music
Future,Incredible,2017,Epic
Thom Yorke,Dawn Chorus,2019,XL
Skepta,Shutdown,2015,Boy Better Know Entertainment
Sharon Van Etten,Seventeen,2019,Jagjaguwar
Frank Ocean,Chanel,2017,Blonded
Young M.A,OOOUUU,2016,M.A Music
Beyoncé,XO,2013,Columbia
Migos,Bad and Boujee [ft. Lil Uzi Vert],2016,Quality Control
Sons of Kemet,My Queen Is Harriet Tubman,2018,Impulse!
Rich Kidz,My Life [ft. Waka Flocka Flame],2012,Self-released
The 1975,The Sound,2016,Dirty Hit
A Tribe Called Quest,The Space Program,2016,Epic
Sampha,No One Knows Me Like the Piano,2017,Young Turks
Nicki Minaj,Come on a Cone,2012,Cash Money
Florence and the Machine,Shake It Out,2011,Universal Republic
DJ Khaled,I'm on One [ft. Drake Rick Ross and Lil Wayne],2011,Epic
Sleep,Marijuanaut's Theme,2018,Third Man
Adele,Rolling in the Deep,2011,Columbia
Lil Peep,Kiss,2016,Self-released
St. Vincent,New York,2017,Loma Vista
King Krule,Dum Surfer,2017,XL
Tinashe,2 On [ft. Schoolboy Q],2014,RCA
Bad Bunny,Caro,2018,Rimas
Jessica Pratt,Back Baby,2014,Drag City
Andrés,New for U,2012,La Vida
Davido,Fall,2017,Sony
Chance the Rapper,No Problem [ft. 2 Chainz and Lil Wayne],2016,Self-released
Vybz Kartel,Clarks [ft. Popcaan and Gaza Slim],2010,Cr203
Odd Future,Oldie,2012,Odd Future
Katy B,Katy on a Mission,2010,Columbia
Waka Flocka Flame,Hard in da Paint,2010,Warner
Beyoncé,11,2011,Sony
Girl Unit,Wut,2010,Night Slugs
Kanye West,Blood on the Leaves,2013,Def Jam
Japanese Breakfast,Everybody Wants to Love You,2016,Yellow K
Danny Brown,30,2011,Fool’s Gold
Miley Cyrus,Wrecking Ball,2013,RCA
Gang Gang Dance,Glass Jar,2011,4AD
Nicki Minaj,Beez in the Trap [ft. 2 Chainz],2012,Cash Money
Björk,Stonemilker,2015,One Little Indian
GoldLink,Crew [ft. Brent Faiyaz and Shy Glizzy],2017,RCA
Ella Mai,Boo'd Up,2018,10 Summers
Gunna,Sold Out Dates [ft. Lil Baby],2018,Young Stoner Life
Charli XCX,Gone [ft. Christine and the Queens],2019,Atlantic
Spoon,Inside Out,2014,Matador
Rick Ross,B.M.F. Blowin' Money Fast [ft. Styles P],2010,Def Jam
Rihanna,Needed Me,2016,Def Jam
Gil Scott-Heron,New York Is Killing Me,2010,XL
Rae Sremmurd,No Type,2014,Ear Drummer
Iceage,The Lord's Favorite,2014,Matador
Drake,Hotline Bling,2015,Cash Money
Yaeji,Drink I'm Sippin On,2017,Godmode
CupcakKe,Duck Duck Goose,2018,Self-released
Robyn,Honey,2018,Interscope
Kamasi Washington,Truth,2017,Young Turks
Future,Mask Off,2017,Epic
Kurt Vile,Baby's Arms,2011,Matador
Chromatics,Kill for Love,2012,Italians Do It Better
A$AP Rocky,Peso,2011,RCA
Lorde,Royals,2013,Lava
Young Thug,Danny Glover,2013,TSBV2
James Blake,CMYK,2010,R&S
Ciara,Ride [ft. Ludacris],2010,LaFace
Lykke Li,I Follow Rivers,2011,LL
Nicki Minaj,Super Bass,2010,Cash Money
Clairo,Bags,2019,Fader
Playboi Carti,Magnolia,2017,Interscope
DJ Rashad,Feelin [ft. Spinn and Taso],2013,Hyperdub
Justin Bieber,Sorry,2015,Def Jam
Fleet Foxes,Helplessness Blues,2011,Sub Pop
Travis Scott,Sicko Mode [ft. Drake],2018,Epic
Usher,Climax,2012,RCA
Burial,Kindred,2012,Hyperdub
The Weeknd,The Morning,2011,Republic
Daft Punk,Get Lucky [ft. Pharrell],2013,Daft Life Limited
Jenny Hval,Conceptual Romance,2016,Sacred Bones
Paramore,Ain't It Fun,2013,Fueled by Ramen
A$AP Ferg,Shabba [ft. A$AP Rocky],2013,Polo Grounds
Chairlift,I Belong in Your Arms,2012,Young Turks
Drake,Nice for What,2018,Cash Money
Girlpool,Before the World Was Big,2015,Wichita
Fetty Wap,Trap Queen,2014,300 Entertainment
Christine and the Queens,Tilted,2015,Atlantic
Kendrick Lamar,DNA.,2017,Aftermath
Amen Dunes,Miki Dora,2018,Sacred Bones
Erykah Badu,Hello [ft. André 3000],2015,Motown
Katy Perry,Teenage Dream,2010,Capitol
TNGHT,Higher Ground,2012,Warp
Jamie xx,I Know There's Gonna Be Good Times [ft. Young Thug and Popcaan],2015,XL
Mac DeMarco,Ode to Viceroy,2012,Captured Tracks
D’Angelo & the Vanguard,Really Love,2014,RCA
Snail Mail,Pristine,2018,Matador
Thundercat,Them Changes,2015,Brainfeeder
Rihanna,Bitch Better Have My Money,2015,Roc Nation
Hurray for the Riff Raff,Pa'lante,2017,ATO
