artist,appearances,appearances_no_ft
Avicii,1,1
Stormzy,1,1
dvsn,1,1
Icona Pop,1,1
John Maus,1,1
Cloud Nothings,1,1
Lil B,2,1
Nilüfer Yanya,1,1
Tame Impala,2,2
Rico Nasty,1,1
Ty Dolla $ign,1,1
J Balvin / Willy William,1,1
Future,3,3
Thom Yorke,1,1
Skepta,1,1
Sharon Van Etten,1,1
Frank Ocean,4,4
Young M.A,1,1
Beyoncé,5,4
Migos,1,1
Sons of Kemet,1,1
Rich Kidz,1,1
The 1975,2,2
A Tribe Called Quest,1,1
Sampha,1,1
Nicki Minaj,4,3
Florence and the Machine,1,1
DJ Khaled,1,1
Sleep,1,1
Adele,2,2
Lil Peep,1,1
St. Vincent,1,1
King Krule,2,2
Tinashe,1,1
Bad Bunny,1,1
Jessica Pratt,1,1
Andrés,1,1
Davido,1,1
Chance the Rapper,1,1
Vybz Kartel,1,1
Odd Future,1,1
Katy B,1,1
Waka Flocka Flame,2,1
Girl Unit,1,1
Kanye West,4,4
Japanese Breakfast,1,1
Danny Brown,1,1
Miley Cyrus,1,1
Gang Gang Dance,1,1
Björk,1,1
GoldLink,1,1
Ella Mai,1,1
Gunna,1,1
Charli XCX,3,2
Spoon,1,1
Rick Ross,3,1
Rihanna,4,4
Gil Scott-Heron,1,1
Rae Sremmurd,2,2
Iceage,1,1
Drake,7,4
Yaeji,1,1
CupcakKe,1,1
Robyn,3,3
Kamasi Washington,1,1
Kurt Vile,1,1
Chromatics,1,1
A$AP Rocky,2,1
Lorde,2,2
Young Thug,2,1
James Blake,1,1
Ciara,1,1
Lykke Li,1,1
Clairo,1,1
Playboi Carti,1,1
DJ Rashad,1,1
Justin Bieber,2,1
Fleet Foxes,1,1
Travis Scott,1,1
Usher,1,1
Burial,1,1
The Weeknd,1,1
Daft Punk,1,1
Jenny Hval,1,1
Paramore,1,1
A$AP Ferg,1,1
Chairlift,1,1
Girlpool,1,1
Fetty Wap,1,1
Christine and the Queens,2,1
Kendrick Lamar,3,3
Amen Dunes,1,1
Erykah Badu,1,1
Katy Perry,1,1
TNGHT,1,1
Jamie xx,2,2
Mac DeMarco,1,1
D’Angelo & the Vanguard,1,1
Snail Mail,1,1
Thundercat,1,1
Hurray for the Riff Raff,1,1
Radiohead,1,1
Meek Mill,1,1
Haim,1,1
Blawan,1,1
Japandroids,1,1
Rich Gang,1,1
Destroyer,1,1
Kelela,1,1
Deerhunter,1,1
Dej Loaf,1,1
Cass McCombs,1,1
Blood Orange,1,1
Lana Del Rey,2,2
Jeremih,1,1
The National,1,1
DJ Koze,1,1
Jack Ü,1,1
Perfume Genius,1,1
"Tyler, the Creator",1,1
Beach House,1,1
Caribou,1,1
FKA twigs,2,2
Kacey Musgraves,1,1
Phoebe Bridgers,1,1
Bobby Shmurda,1,1
EMA,1,1
David Bowie,1,1
Miguel,1,1
Taylor Swift,1,1
Vince Staples,1,1
Bat for Lashes,1,1
Disclosure,1,1
Solange,2,2
Camp Cope,1,1
Arcade Fire,1,1
Gyptian,1,1
Ariana Grande,1,1
The Knife,1,1
Big Thief,1,1
SZA,1,1
Courtney Barnett,1,1
SOPHIE,1,1
Jai Paul,1,1
Carly Rae Jepsen,1,1
Future Islands,1,1
LCD Soundsystem,1,1
Fiona Apple,1,1
Ariel Pink’s Haunted Graffiti,1,1
Cardi B,1,1
Joanna Newsom,1,1
M.I.A.,1,1
Bon Iver,1,1
Todd Terje,1,1
Rosalía: “Malamente (Cap.1,1,1
ANOHNI,1,1
M83,1,1
Vampire Weekend,1,1
Angel Olsen,1,1
Chief Keef,1,1
Sky Ferreira,1,1
Bill Callahan,1,1
Lil Uzi Vert,2,1
Mitski,1,1
Azealia Banks,1,1
Grimes,1,1
