rank,artist,song,year,0,1,2
200,Avicii,Levels,2011,Universal,,
199,Stormzy,Big for Your Boots,2017,#Merky,,
198,dvsn,The Line,2016,Self-released,,
197,Icona Pop,I Love It [ft. Charli XCX],2012,Record Company Ten,Big Beat Records,
196,John Maus,Believer,2011,Ribbon Music,Upset the Rhythm,
195,Cloud Nothings,I'm Not Part of Me,2014,Carpark,,
194,Lil B,Wonton Soup,2010,BasedWorld,,
193,Nilüfer Yanya,Baby Luv,2017,Blue Flowers,ATO,
192,Tame Impala,Feels Like We Only Go Backwards,2012,Modular,,
191,Rico Nasty,Smack a Bitch,2018,Sugar Trap,,
190,Ty Dolla $ign,Paranoid [ft. B.o.B],2013,Atlantic,,
189,J Balvin / Willy William,Mi Gente Remix [ft. Beyoncé],2017,Scorpio Music,,
188,Future,Incredible,2017,Epic,Freebandz,
187,Thom Yorke,Dawn Chorus,2019,XL,,
186,Skepta,Shutdown,2015,Boy Better Know Entertainment,,
185,Sharon Van Etten,Seventeen,2019,Jagjaguwar,,
184,Frank Ocean,Chanel,2017,Blonded,,
183,Young M.A,OOOUUU,2016,M.A Music,3D,
182,Beyoncé,XO,2013,Columbia,,
181,Migos,Bad and Boujee [ft. Lil Uzi Vert],2016,Quality Control,,
180,Sons of Kemet,My Queen Is Harriet Tubman,2018,Impulse!,,
179,Rich Kidz,My Life [ft. Waka Flocka Flame],2012,Self-released,,
178,The 1975,The Sound,2016,Dirty Hit,,
177,A Tribe Called Quest,The Space Program,2016,Epic,,
176,Sampha,No One Knows Me Like the Piano,2017,Young Turks,,
175,Nicki Minaj,Come on a Cone,2012,Cash Money,Young Money,Republic
174,Florence and the Machine,Shake It Out,2011,Universal Republic,Island,
173,DJ Khaled,I'm on One [ft. Drake Rick Ross and Lil Wayne],2011,Epic,,
172,Sleep,Marijuanaut's Theme,2018,Third Man,,
171,Adele,Rolling in the Deep,2011,Columbia,XL,
170,Lil Peep,Kiss,2016,Self-released,,
169,St. Vincent,New York,2017,Loma Vista,,
168,King Krule,Dum Surfer,2017,XL,,
167,Tinashe,2 On [ft. Schoolboy Q],2014,RCA,,
166,Bad Bunny,Caro,2018,Rimas,,
165,Jessica Pratt,Back Baby,2014,Drag City,,
164,Andrés,New for U,2012,La Vida,,
163,Davido,Fall,2017,Sony,,
162,Chance the Rapper,No Problem [ft. 2 Chainz and Lil Wayne],2016,Self-released,,
161,Vybz Kartel,Clarks [ft. Popcaan and Gaza Slim],2010,Cr203,,
160,Odd Future,Oldie,2012,Odd Future,,
159,Katy B,Katy on a Mission,2010,Columbia,Rinse,
158,Waka Flocka Flame,Hard in da Paint,2010,Warner,,
157,Beyoncé,11,2011,Sony,,
156,Girl Unit,Wut,2010,Night Slugs,,
155,Kanye West,Blood on the Leaves,2013,Def Jam,,
154,Japanese Breakfast,Everybody Wants to Love You,2016,Yellow K,,
153,Danny Brown,30,2011,Fool’s Gold,,
152,Miley Cyrus,Wrecking Ball,2013,RCA,,
151,Gang Gang Dance,Glass Jar,2011,4AD,,
150,Nicki Minaj,Beez in the Trap [ft. 2 Chainz],2012,Cash Money,Young Money,Republic
149,Björk,Stonemilker,2015,One Little Indian,,
148,GoldLink,Crew [ft. Brent Faiyaz and Shy Glizzy],2017,RCA,,
147,Ella Mai,Boo'd Up,2018,10 Summers,Interscope,
146,Gunna,Sold Out Dates [ft. Lil Baby],2018,Young Stoner Life,300 Entertainment,
145,Charli XCX,Gone [ft. Christine and the Queens],2019,Atlantic,,
144,Spoon,Inside Out,2014,Matador,,
143,Rick Ross,B.M.F. Blowin' Money Fast [ft. Styles P],2010,Def Jam,,
142,Rihanna,Needed Me,2016,Def Jam,,
141,Gil Scott-Heron,New York Is Killing Me,2010,XL,,
140,Rae Sremmurd,No Type,2014,Ear Drummer,,
139,Iceage,The Lord's Favorite,2014,Matador,,
138,Drake,Hotline Bling,2015,Cash Money,,
137,Yaeji,Drink I'm Sippin On,2017,Godmode,,
136,CupcakKe,Duck Duck Goose,2018,Self-released,,
135,Robyn,Honey,2018,Interscope,Konichiwa,
134,Kamasi Washington,Truth,2017,Young Turks,,
133,Future,Mask Off,2017,Epic,,
132,Kurt Vile,Baby's Arms,2011,Matador,,
131,Chromatics,Kill for Love,2012,Italians Do It Better,,
130,A$AP Rocky,Peso,2011,RCA,,
129,Lorde,Royals,2013,Lava,Republic,
128,Young Thug,Danny Glover,2013,TSBV2,,
127,James Blake,CMYK,2010,R&S,,
126,Ciara,Ride [ft. Ludacris],2010,LaFace,,
125,Lykke Li,I Follow Rivers,2011,LL,,
124,Nicki Minaj,Super Bass,2010,Cash Money,Young Money,Republic
123,Clairo,Bags,2019,Fader,,
122,Playboi Carti,Magnolia,2017,Interscope,AWGE,
121,DJ Rashad,Feelin [ft. Spinn and Taso],2013,Hyperdub,,
120,Justin Bieber,Sorry,2015,Def Jam,,
119,Fleet Foxes,Helplessness Blues,2011,Sub Pop,,
118,Travis Scott,Sicko Mode [ft. Drake],2018,Epic,,
117,Usher,Climax,2012,RCA,,
116,Burial,Kindred,2012,Hyperdub,,
115,The Weeknd,The Morning,2011,Republic,,
114,Daft Punk,Get Lucky [ft. Pharrell],2013,Daft Life Limited,Columbia,
113,Jenny Hval,Conceptual Romance,2016,Sacred Bones,,
112,Paramore,Ain't It Fun,2013,Fueled by Ramen,,
111,A$AP Ferg,Shabba [ft. A$AP Rocky],2013,Polo Grounds,RCA,
